,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Year,Casualty_count,Fatality_rate,Vehicle_crash_ratio
0,Q4 2020,Abia,30,146,31,37,19,0,0,0,18,2020,177,1.0333333333333334,1.2333333333333334
1,Q4 2020,Adamawa,77,234,36,94,57,0,0,0,37,2020,270,0.4675324675324675,1.2207792207792207
2,Q4 2020,Akwa Ibom,22,28,7,24,15,0,0,1,8,2020,35,0.3181818181818182,1.0909090909090908
3,Q4 2020,Anambra,72,152,20,83,43,1,0,0,39,2020,172,0.2777777777777778,1.1527777777777777
4,Q4 2020,Bauchi,154,685,90,140,74,0,0,0,66,2020,775,0.5844155844155844,0.9090909090909091
5,Q4 2020,Bayelsa,1,3,0,1,1,0,0,0,0,2020,3,0.0,1.0
6,Q4 2020,Benue,77,177,25,81,81,0,0,0,0,2020,202,0.3246753246753247,1.051948051948052
7,Q4 2020,Borno,25,67,16,18,11,0,0,0,7,2020,83,0.64,0.72
8,Q4 2020,Cross River,33,65,11,39,23,0,0,0,16,2020,76,0.3333333333333333,1.1818181818181819
9,Q4 2020,Delta,67,182,36,111,70,0,0,0,41,2020,218,0.5373134328358209,1.6567164179104477
10,Q4 2020,Ebonyi,27,82,11,29,9,0,0,0,20,2020,93,0.4074074074074074,1.0740740740740742
11,Q4 2020,Edo,55,118,32,102,77,0,0,0,25,2020,150,0.5818181818181818,1.8545454545454545
12,Q4 2020,Ekiti,30,71,9,46,23,1,0,0,22,2020,80,0.3,1.5333333333333334
13,Q4 2020,Enugu,44,116,30,48,10,0,0,0,38,2020,146,0.6818181818181818,1.0909090909090908
14,Q4 2020,Fct,312,572,90,480,284,1,0,2,193,2020,662,0.28846153846153844,1.5384615384615385
15,Q4 2020,Gombe,70,231,26,84,59,0,0,0,25,2020,257,0.37142857142857144,1.2
16,Q4 2020,Imo,31,91,15,24,11,0,0,0,13,2020,106,0.4838709677419355,0.7741935483870968
17,Q4 2020,Jigawa,92,318,64,177,118,0,0,0,59,2020,382,0.6956521739130435,1.923913043478261
18,Q4 2020,Kaduna,281,1010,224,363,194,0,0,0,169,2020,1234,0.797153024911032,1.291814946619217
19,Q4 2020,Kano,102,499,194,130,90,0,0,2,38,2020,693,1.9019607843137254,1.2745098039215685
20,Q4 2020,Katsina,77,277,39,107,80,0,0,0,27,2020,316,0.5064935064935064,1.3896103896103895
21,Q4 2020,Kebbi,58,222,56,64,45,0,0,0,19,2020,278,0.9655172413793104,1.103448275862069
22,Q4 2020,Kogi,122,335,55,178,91,1,0,1,85,2020,390,0.45081967213114754,1.459016393442623
23,Q4 2020,Kwara,102,313,60,163,105,0,0,0,58,2020,373,0.5882352941176471,1.5980392156862746
24,Q4 2020,Lagos,113,181,21,114,46,1,0,3,64,2020,202,0.18584070796460178,1.008849557522124
25,Q4 2020,Nasarawa,200,513,65,271,114,0,0,0,157,2020,578,0.325,1.355
26,Q4 2020,Niger,110,347,91,126,102,0,0,0,24,2020,438,0.8272727272727273,1.1454545454545455
27,Q4 2020,Ogun,279,548,83,377,254,0,0,0,123,2020,631,0.2974910394265233,1.3512544802867383
28,Q4 2020,Ondo,114,320,84,155,107,0,0,1,47,2020,404,0.7368421052631579,1.3596491228070176
29,Q4 2020,Osun,109,292,52,143,93,0,0,0,50,2020,344,0.47706422018348627,1.311926605504587
30,Q4 2020,Oyo,155,385,68,209,128,0,0,4,77,2020,453,0.43870967741935485,1.3483870967741935
31,Q4 2020,Plateau,45,123,17,48,18,2,0,0,28,2020,140,0.37777777777777777,1.0666666666666667
32,Q4 2020,Rivers,25,77,6,29,19,0,0,0,10,2020,83,0.24,1.16
33,Q4 2020,Sokoto,32,138,47,60,49,0,0,0,11,2020,185,1.46875,1.875
34,Q4 2020,Taraba,59,149,7,92,57,0,0,0,35,2020,156,0.11864406779661017,1.5593220338983051
35,Q4 2020,Yobe,56,383,60,53,28,0,0,0,25,2020,443,1.0714285714285714,0.9464285714285714
